,np_id,bf_id,p,phi,a_33,R_bd,np_id_s,k_p,rho_p,cv_p,bf_id_s,k_f,cv_f,rho_f,mu_f,rho_nf,k_nf,c_nf,combo_name,psi_c,mu_nf_enhancement,mu_nf,T_out,wt fraction,Velocity1,Velocity,HTC,m_flowrate,deltaT,Q_out,Q_out_check,W_out,Reynolds,Prandtl,T_in,FOM Standard,FOM User,FOM Mouromtseff,FOM k/mu enhancement,T_outcheck,Shear Rate,FOM Standard normed
0,3.0,0.0,1.0,0.0,10.0,1e-08,Al2O3,35.0,3040.0,755.0,Isoparaffin Mixtures,0.15,2030.0,791.0,0.0046,791.0,0.15,2030.0,Isoparaffin Mixtures-Al2O3,0.8972525875737437,1.0,0.0046,30.0,0.0,0.1252794823188713,0.12527948231887123,267.92070044718616,0.004634617499427917,0.5314471339859547,5.0,4.999999999999999,0.0001597976856209178,140.5831631922149,62.25333333333333,29.468552866014047,1.0,1.0,1.0,1.0,30.0,153.58019975299484,1.0
1,3.0,0.0,1.0,0.008,10.0,1e-08,Al2O3,35.0,3040.0,755.0,Isoparaffin Mixtures,0.15,2030.0,791.0,0.0046,808.7552631578948,0.1535348943795574,1992.1640793031524,Isoparaffin Mixtures-Al2O3,0.8972525875737437,1.0846737833795013,0.004037471592343052,30.0,0.029675231919095945,0.12454811179874775,0.11606144749778631,267.9207004470422,0.00438998024744529,0.5717186152060811,5.0,4.9999999999973115,0.00012037552609484508,151.7156325030939,52.38747784323657,29.42828138479392,1.3274931442045088,1.3274931442021305,1.0924924304881483,1.1661762367738042,29.99999999999462,142.2798048044516,1.3274931442045088
2,3.0,0.0,1.0,0.016,10.0,1e-08,Al2O3,35.0,3040.0,755.0,Isoparaffin Mixtures,0.15,2030.0,791.0,0.0046,826.5105263157894,0.15712576392096872,1955.953756121169,Isoparaffin Mixtures-Al2O3,0.8972525875737437,1.1815898703601107,0.004401252147300747,30.0,0.05807548539516165,0.12404115209255086,0.11561557524231149,267.92070044704514,0.004469121861209205,0.5719910385878728,5.0,4.999999999997367,0.0001302152028388791,141.68477747821734,54.788250216426896,29.42800896141213,1.2271814821702685,1.227181482168116,1.0775864543785503,1.0948074015402345,29.999999999994735,141.733209713279,1.2271814821702685
3,3.0,0.0,1.0,0.024,10.0,1e-08,Al2O3,35.0,3040.0,755.0,Isoparaffin Mixtures,0.15,2030.0,791.0,0.0046,844.2657894736842,0.16077394878762782,1921.2664694642808,Isoparaffin Mixtures-Al2O3,0.8972525875737437,1.2907482609418284,0.004810140521363244,30.0,0.085281200420172,0.12369124522499378,0.11530773009643035,267.92070044704707,0.004552973032096148,0.5715935546935486,4.999999999999999,4.999999999997403,0.00014155570032685174,132.07315715066773,57.481711227446134,29.42840644530645,1.1288678961846492,1.1288678961826955,1.0612501779363805,1.0250014680977746,29.999999999994806,141.35582214651785,1.1288678961846492
4,3.0,0.0,1.0,0.032,10.0,1e-08,Al2O3,35.0,3040.0,755.0,Isoparaffin Mixtures,0.15,2030.0,791.0,0.0046,862.021052631579,0.16448083226888688,1888.0081082401211,Isoparaffin Mixtures-Al2O3,0.8972525875737437,1.4121489551246538,0.0052643287472082575,30.0,0.11136618961559126,0.12344385722770004,0.11509003022604024,267.92070044704855,0.0046399472163667,0.5707594478645351,4.999999999999999,4.9999999999974305,0.00015433739428710218,122.98362311782752,60.427073611365856,29.429240552135465,1.0353789265332434,1.0353789265314703,1.0441472875628428,0.958161828119265,29.999999999994863,141.08894373225672,1.0353789265332434
5,3.0,0.0,1.0,0.039,10.0,1e-08,Al2O3,35.0,3040.0,755.0,Isoparaffin Mixtures,0.15,2030.0,791.0,0.0046,879.7763157894736,0.16824784252884709,1856.0921585929436,Isoparaffin Mixtures-Al2O3,0.8972525875737437,1.5457919529085873,0.005764011185797518,30.0,0.13639830698592645,0.12325577340693548,0.11492448992355753,267.9207004470495,0.0047287060149915,0.5696763021560182,5.0,4.999999999997449,0.00016850109901658228,114.47080717600711,63.587953362114945,29.43032369784398,0.9483480318736202,0.9483480318720082,1.0267892720692053,0.8951406126572404,29.9999999999949,140.88600776659112,0.9483480318736202
6,3.0,0.0,1.0,0.047,10.0,1e-08,Al2O3,35.0,3040.0,755.0,Isoparaffin Mixtures,0.15,2030.0,791.0,0.0046,897.5315789473684,0.17207645444094255,1825.4389524485282,Isoparaffin Mixtures-Al2O3,0.8972525875737437,1.6916772542936287,0.006309390217209011,30.0,0.16044003729527181,0.12309341636684049,0.11478157353703401,267.9207004470505,0.0048181395609760945,0.5684906356715048,4.999999999999998,4.999999999997467,0.00018398587797371354,106.553871269877,66.9319152705104,29.431509364328495,0.8685323427037611,0.8685323427022946,1.009556106874793,0.8363742117469712,29.999999999994934,140.7108064743764,0.8685323427037611
7,3.0,0.0,1.0,0.055,10.0,1e-08,Al2O3,35.0,3040.0,755.0,Isoparaffin Mixtures,0.15,2030.0,791.0,0.0046,915.2868421052631,0.17596819151326867,1795.975003522048,Isoparaffin Mixtures-Al2O3,0.8972525875737437,1.8498048592797782,0.0069006795712600825,30.0,0.18354901684545258,0.1229311963865465,0.11463875994199596,267.92070044705133,0.004907340153130273,0.5673140694858895,4.999999999999999,4.999999999997483,0.0002007278227997446,99.22738494677131,70.43004710521127,29.43268593051411,0.7960913608889155,0.7960913608875807,0.9927199453532106,0.7820038327164615,29.99999999999497,140.5357311943113,0.7960913608889155
8,3.0,0.0,1.0,0.063,10.0,1e-08,Al2O3,35.0,3040.0,755.0,Isoparaffin Mixtures,0.15,2030.0,791.0,0.0046,933.042105263158,0.1799246279099351,1767.6324191383026,Isoparaffin Mixtures-Al2O3,0.8972525875737437,2.020174767867036,0.007538105979640554,30.0,0.20577849479348817,0.1227500104008362,0.11447922812850346,267.92070044705247,0.004995574022658775,0.5662297030178982,5.0,4.999999999997503,0.00021865951335640747,92.46990364750093,74.0565683714118,29.4337702969821,0.7308060059589224,0.7308060059577066,0.9764678678824233,0.7319728064503962,29.999999999995005,140.34016103924972,0.7308060059589224
9,3.0,0.0,1.0,0.071,10.0,1e-08,Al2O3,35.0,3040.0,755.0,Isoparaffin Mixtures,0.15,2030.0,791.0,0.0046,950.7973684210526,0.18394739057407772,1740.3483779542378,Isoparaffin Mixtures-Al2O3,0.8972525875737437,2.202786980055402,0.008221909684205334,30.0,0.22717774278098993,0.122535940149382,0.11429071342219461,267.92070044705366,0.005082254138576878,0.5652979796755363,4.999999999999999,4.9999999999975255,0.00023770993993672403,86.25036107310308,77.78847603076272,29.434702020324465,0.6722381304856427,0.6722381304845345,0.9609217900927921,0.6861001309434359,29.999999999995055,140.1090607368267,0.6722381304856427
